P21513	P0A7K2
P21513	P0A7L0
P21513	P0A7R1
P21513	P0A7R5
P21513	P0A7T3
P21513	P0A9P6
P21513	P0AA10
P21513	P0ACP1
P21513	P0ADZ0
P21513	P0AG48
P21513	P21507
P21513	P60422
P21513	P60438
P21513	P60624
P21513	P60723
P21513	P61175
P21513	P68679
P21513	P75864
P21513	P76594
P21599	P19642
P21599	P23930
P21599	P52052
P21645	P00962
P21645	P02359
P21645	P02413
P21645	P07023
P21645	P08622
P21645	P0A7J7
P21645	P0A7K2
P21645	P0A7K6
P21645	P0A7L3
P21645	P0A7N9
P21645	P0A7R1
P21645	P0A7R5
P21645	P0A7T3
P21645	P0A7T7
P21645	P0A7W7
P21645	P0AA10
P21645	P0ABL8
P21645	P0ADY7
P21645	P0AF76
P21645	P0AFW4
P21645	P0AG48
P21645	P23830
P21645	P36659
P21645	P60422
P21645	P60438
P21645	P60624
P21645	P60723
P21645	P61175
P21889	P09832
P21889	P0A8M0
P21893	P03024
P21893	P04995
P21893	P06959
P21893	P08622
P21893	P09424
P21893	P0A7M2
P21893	P0A7T3
P21893	P0A809
P21893	P0A9P0
P21893	P0AFG8
P21893	P14294
P21893	P60723
P21893	P61175
P22188	P05055
P22188	P13029
P22188	P15034
P22188	P23482
P22188	P76069
P22523	P02359
P22523	P0A7K2
P22523	P0A7M2
P22523	P0A7R5
P22523	P0A7T3
P22523	P0AA10
P22523	P0C018
P22523	P22524
P22523	P60293
P22523	P60422
P22523	P60438
P22523	P60723
P22523	P61175
P22524	P22523
P22524	P60293
P22634	P0A7J7
P22634	P0A7K2
P22634	P0AFG0
P22939	P0A7J7
P22939	P0A7K2
P22939	P0A7N9
P22939	P0A7R5
P22939	P0AA10
P22939	P33221
P22939	P60438
P22939	P77609
P23003	P0A7K2
P23003	P0AFG8
P23003	P21513
P23367	P0AG67
P23721	P14081
P23830	P02359
P23830	P05055
P23830	P0A7K2
P23830	P0ADZ0
P23830	P0AG48
P23830	P0AG59
P23830	P0AG67
P23830	P60438
P23830	P68679
P23830	P75864
P23839	P08622
P23839	P0A7T3
P23839	P0A9P0
P23839	P0ADZ0
P23839	P31462
P23869	P0AAI3
P23869	P11553
P23869	P16918
P23869	P37659
P24182	P0ABD8
P24182	P16703
P24182	P45768
P24182	P60438
P24183	P0AFG8
P24183	P13024
P24188	P06959
P24188	P0A7K2
P24188	P0A9P0
P24188	P52129
P24192	P24193
P24230	P06959
P24255	P0AA10
P24255	P45464
P24255	P60723
P24255	P69797
P25539	P02359
P25539	P08550
P25539	P0A7K6
P25539	P0AB55
P25539	P0ABD8
P25539	P0ACK2
P25539	P0AG48
P25539	P24182
P25539	P60438
P25539	P60723
P25539	P61714
P25539	P62399
P25539	P69811
P25539	P76577
P26602	P06959
P26602	P0A7M2
P26602	P0AFG8
P27305	P06959
P27305	P0A7K2
P27305	P0A9P0
P27305	P0AE34
P27305	P46474
P27305	P52143
P27862	P06612
P28629	P02413
P28629	P0AFP6
P28629	P0C0R7
P28629	P60422
P28629	P77187
P28630	P09372
P28630	P0A7K2
P28630	P0A7N9
P28630	P0AAJ3
P28630	P0ABD8
P28630	P0ADY7
P28630	P0AFL6
P28630	P24182
P28630	P33195
P28630	P33341
P28630	P37095
P28630	P61175
P28631	P06710
P28631	P0A7J3
P28631	P0A7L0
P28631	P0A7M2
P28631	P0A7R5
P28631	P0A7T3
P28631	P0AFG8
P28631	P0AG80
P28631	P10408
P28631	P10443
P28631	P28630
P28631	P28632
P28631	P38038
P28631	P60438
P28631	P77395
P28632	P03007
P28632	P06710
P28632	P0A7K2
P28632	P0A7M2
P28632	P0AA10
P28632	P0AG48
P28632	P10408
P28632	P10443
P28632	P14294
P28632	P15043
P28632	P28630
P28632	P28631
P28632	P28905
P28632	P60438
P28905	P03007
P28905	P04995
P28905	P06612
P28905	P06710
P28905	P0A698
P28905	P0A7K2
P28905	P0A7K6
P28905	P0A7M2
P28905	P0A7M6
P28905	P0A7N9
P28905	P0A7R5
P28905	P0AG59
P28905	P10408
P28905	P10443
P28905	P14294
P28905	P15043
P28905	P17888
P28905	P27249
P28905	P28630
